df_index,Age_Group_code,Age Group,Gender_code,Gender,college_code,College Name,Degree ,Subject,Percent_10,Favorite_Subject_10,Marks_10,Percent_12,Favorite_Subject_12,Marks_12,CGPA,co-curricular activity,profession,preffed sector,Age,Expected_salary,Financially constrained_coded,Financially constrained,Family_income_coded,Family_income,Parent's occupation,Spending,parents_influence,friend_influence,mentor_influence,social_expectations,social_media_influence,personal_choice,family_income
0,19.0,18 - 20,-1,f,22,institute of engineering and management,bba,analytics,85.0,biology,97.0,75.0,biology,99.0,8.0,no,data analyst,,0.0,,2,maybe,1,3 -  7  lakhs,Unknown,,3,1,1,1,1,5,3 -  7  lakhs
1,21.0,20 - 22,-1,f,22,institute of engineering and management,bba,finance,85.0,mathematics,99.0,75.0,economics,80.0,9.0,content writing ,financial services,government/public sector,28.0,3.5,2,maybe,3,10 - 12 lakhs,Government Job,10.0,4,1,3,4,2,2,10 - 12 lakhs
2,19.0,18 - 20,-1,f,4,asutosh college,b.sc / bs,statistics,85.0,mathematics,98.0,85.0,mathematics,86.0,6.0,dance,chartered accountant,undecided,25.0,8.0,2,maybe,1,3 -  7  lakhs,Business,2.5,5,2,4,3,1,4,3 -  7  lakhs
3,19.0,18 - 20,-1,f,40,sister nivedita university,ba,political science,95.0,socialscience,94.0,85.0,politicalscience,87.0,7.0,not right now ,entrepreneurship,corporate/private sector,0.0,2.0,1,yes,1,3 -  7  lakhs,Business,,4,5,5,5,5,4,3 -  7  lakhs
4,21.0,20 - 22,-1,f,40,sister nivedita university,msc / ms,psychology,65.0,maths,60.0,65.0,accounts,65.0,7.0,no,chartered accountant,it secrtor,27.0,0.5,2,maybe,1,3 -  7  lakhs,Business,10.0,3,1,1,4,3,5,3 -  7  lakhs
5,21.0,20 - 22,-1,f,40,sister nivedita university,ma,english,75.0,english,81.0,75.0,english,87.0,6.0,dance ,chartered accountant,n.q.,28.0,6.0,0,no,1,3 -  7  lakhs,Finance,1.0,5,5,5,4,4,5,3 -  7  lakhs
6,21.0,20 - 22,-1,f,40,sister nivedita university,ma,english,55.0,english,82.0,65.0,english,72.0,8.0,no,professor,academia/education,28.5,3.5,2,maybe,0,below 3 lakhs,Business,,1,1,1,5,1,5,below 3 lakhs
7,21.0,20 - 22,-1,f,40,sister nivedita university,ma,english,75.0,english,82.0,85.0,english,88.0,6.0,no,professor,it secrtor,25.0,13.0,0,no,0,below 3 lakhs,Business,2.0,5,1,2,3,2,4,below 3 lakhs
8,21.0,20 - 22,-1,f,40,sister nivedita university,ba,english,85.0,science,80.0,75.0,english,80.0,8.0,no,professor,corporate/private sector,25.0,3.5,1,yes,1,3 -  7  lakhs,Other,2.0,5,1,2,5,2,3,3 -  7  lakhs
9,23.5,22 - 25,-1,f,54,university of calcutta,m com.,accountancy,85.0,science,87.0,85.0,accountancy,92.0,8.0,karate,commercial undecideds,government/public sector,0.0,8.5,0,no,1,3 -  7  lakhs,Business,,2,1,3,1,1,5,3 -  7  lakhs
10,19.0,18 - 20,-1,f,12,gokhale memorial girls college,ba,political science,75.0,science ,,65.0,,,6.0,singing ,entrepreneurship,government/public sector,21.0,0.5,1,yes,0,below 3 lakhs,Business,0.5,4,1,1,1,2,3,below 3 lakhs
11,19.0,18 - 20,-1,f,50,techno international,b tech.,computer science and business system,85.0,bengali,95.0,85.0,chemistry,89.0,7.0,"yes , dance",software development engineer,corporate/private sector,30.0,5.0,1,yes,3,10 - 12 lakhs,Government Job,6.5,4,3,2,3,3,3,10 - 12 lakhs
