index,Age Group,Gender,College Name,Degree ,Subject,Percent_10,Favorite_Subject_10,Marks_10,Percent_12,Favorite_Subject_12,Marks_12,CGPA,co-curricular activity,profession,preffed sector,Expected_salary,Age,Financially constrained,Family_income,Parent's occupation,Spending,parents_influence,friend_influence,mentor_influence,social_expectations,social_media_influence,personal_choice
0,20 - 22,m,st xaviers university,llb,constitutional matters,85.0,english,94.0,95.0,politicalscience,97.0,7.0,,lawyer,it secrtor,0.75,35.0,maybe,below 3 lakhs,Other,7.0,3,1,3,5,2,4
1,18 - 20,f,st xaviers college (autonomous),b com.,accountancy,95.0,mathematics,99.0,95.0,mathematics,99.0,8.0,nss,chartered accountant,corporate/private sector,12.0,27.0,no,10 - 12 lakhs,Private Job,8.0,1,1,1,3,2,5
2,18 - 20,f,st xaviers college (autonomous),b com.,accountancy,95.0,math,,95.0,,,6.0,nss,chartered accountant,corporate/private sector,12.5,25.5,maybe,10 - 12 lakhs,Teaching,6.0,2,3,2,4,3,5
3,18 - 20,f,sivnath sastri college,b com.,accountancy,85.0,mathematics,89.0,85.0,mathematics,80.0,8.0,dance,tax analyst,corporate/private sector,4.5,29.0,no,7 - 10 lakhs,Government Job,3.5,3,2,1,2,1,4
4,22 - 25,f,shri shikshayatan college,m com.,accountancy,75.0,english,70.0,75.0,businessstudies,77.0,0.0,painting ,professor,academia/education,4.0,25.0,no,below 3 lakhs,Retired,1.0,4,2,5,2,2,5
5,22 - 25,f,university of calcutta,m com.,accountancy,85.0,science,87.0,85.0,accountancy,92.0,8.0,karate,commercial undecideds,government/public sector,8.5,0.0,no,3 -  7  lakhs,Business,,2,1,3,1,1,5
7,18 - 20,m,the bhawanipur educational society college,b com.,accountancy,75.0,english,90.0,85.0,commerce,90.0,7.0,"football, cricket, event management ",accounts  finance manager,corporate/private sector,4.0,32.0,maybe,3 -  7  lakhs,Business,2.0,5,3,4,1,1,5
8,18 - 20,m,the bhawanipur educational society college,b com.,accountancy,65.0,pubg,3.0,85.0,costandtaxation,100.0,9.0,,house husband,others,,0.0,no,15 lakhs above,Engineering,,1,1,1,1,3,5
9,20 - 22,m,the bhawanipur educational society college,b com.,accountancy,95.0,economics,94.0,75.0,economics,82.0,6.0,no,entrepreneurship,corporate/private sector,12.0,26.0,maybe,7 - 10 lakhs,Government Job,4.5,4,3,5,1,1,3
10,20 - 22,m,st xaviers university,b com.,accountancy,85.0,geography,88.0,95.0,accounts,95.0,7.0,writing,entrepreneurship,government/public sector,12.0,25.0,maybe,7 - 10 lakhs,Business,3.0,1,1,1,1,1,1
11,20 - 22,m,sister nivedita university,b.sc / bs,agriculture,85.0,biology,91.0,75.0,biology,86.0,8.0,no,entrepreneurship,undecided,12.0,22.0,no,3 -  7  lakhs,Business,0.1,5,1,5,1,1,5
12,18 - 20,f,institute of engineering and management,bba,analytics,85.0,biology,97.0,75.0,biology,99.0,8.0,no,data analyst,,,0.0,maybe,3 -  7  lakhs,Unknown,,3,1,1,1,1,5
13,20 - 22,f,amity university,bfa,animation,65.0,,,55.0,,,6.0,not really ,artificial intelligence,it secrtor,10.0,27.0,yes,below 3 lakhs,Private Job,,5,3,5,1,4,4
14,18 - 20,f,sister nivedita university,ba,english,75.0,english,78.0,85.0,english,90.0,7.0,,professor,undecided,3.6,23.5,maybe,3 -  7  lakhs,Business,,3,1,1,1,1,4
15,18 - 20,f,st xaviers university,ba,psychology,85.0,english,92.0,95.0,psychology,94.0,0.0,ngos,psychologist,corporate/private sector,1.0,24.0,no,15 lakhs above,Business,10.0,1,1,1,5,5,5
16,20 - 22,m,techno international,b tech.,computer science - artificial intelligence and machine learning,85.0,computer,90.0,85.0,mathematics,85.0,7.0,yea currently am working under traffic management system using ai,web developer,it secrtor,6.0,50.0,no,3 -  7  lakhs,Legal Sector,5.0,3,4,5,3,5,2
17,22 - 25,m,techno india university,b tech.,electronics and instrumentation engineering,95.0,physics,89.0,85.0,physics,86.0,7.0,gaming club head; footballer,undecided,corporate/private sector,7.0,27.0,maybe,below 3 lakhs,Retired,20.0,4,4,4,3,4,2
18,20 - 22,f,techno india university,b tech.,food technology,85.0,maths,87.0,85.0,biology,88.0,7.0,football ,food technologist,corporate/private sector,6.5,25.0,no,12 - 15 lakhs,Government Job,7.0,5,1,3,5,5,1
19,18 - 20,m,sister nivedita university,ba,english,95.0,english,90.0,75.0,english,80.0,6.0,used to play football for school team,entrepreneurship,undecided,4.8,24.5,maybe,below 3 lakhs,Teaching,,3,1,1,1,1,4
21,22 - 25,f,university of calcutta,llb,,95.0,biology,96.0,85.0,economics,98.0,9.0,,cs,corporate/private sector,4.5,30.0,no,3 -  7  lakhs,Business,2.5,4,5,1,3,2,5
22,20 - 22,f,amity university,ba,political science,85.0,english,82.0,85.0,sociology,85.0,8.0,yoga,researcher,government/public sector,0.5,27.0,yes,3 -  7  lakhs,Government Job,,4,4,4,3,5,5
23,20 - 22,m,calcutta school of tropical medicine,b.sc / bs,medical laboratory technology,95.0,civics,96.0,95.0,mathematics,98.0,7.0,no,researcher,government/public sector,3.0,35.0,no,3 -  7  lakhs,Business,10.0,5,1,4,5,1,5
24,18 - 20,m,institute of engineering and management,bba,,95.0,geography,97.0,75.0,costingandtaxation,90.0,8.0,no,entrepreneurship,corporate/private sector,8.5,28.0,yes,7 - 10 lakhs,Business,6.0,3,2,3,4,3,2
25,18 - 20,f,sister nivedita university,ba,english,65.0,lifescience,76.0,75.0,english,72.0,6.0,no,chartered accountant,corporate/private sector,2.75,22.0,maybe,below 3 lakhs,Business,,4,3,3,3,2,3
26,18 - 20,m,institute of engineering and management,b tech.,electronics and communication,75.0,mathematics,97.0,75.0,computerscience,88.0,0.0,football,software development engineer,it secrtor,8.0,30.0,no,15 lakhs above,Retired,20.0,1,1,1,5,1,3
28,20 - 22,f,institute of engineering and management,bba,finance,85.0,mathematics,96.0,95.0,accountancy,92.0,9.0,,accountent,it secrtor,3.35,22.0,yes,3 -  7  lakhs,Business,4.0,1,1,1,2,3,2
29,18 - 20,f,techno india university,bba,management,65.0,english,84.0,85.0,history,88.0,0.0,dance,human resource,corporate/private sector,4.0,25.0,no,10 - 12 lakhs,Government Job,3.5,5,4,4,1,1,1
31,18 - 20,f,sivnath sastri college,b com.,,75.0,bengali,86.0,95.0,accountancy,96.0,7.0,,chartered accountant,corporate/private sector,6.5,25.0,yes,3 -  7  lakhs,Business,5.0,4,4,5,3,3,3
33,20 - 22,m,kusum devi sunderlal dugar jain dental college,bds,biology dental,95.0,mathematics,96.0,75.0,biology,75.0,0.0,,doctor,undecided,1.2,30.0,maybe,3 -  7  lakhs,Government Job,10.0,3,3,3,3,3,3
