Do you consent to the use of the information provided in this form for analysis and research purposes? Your data will be handled confidentially and used solely for academic or research objectives. [ Put it on the top],Age Group,Gender,College Name ,Degree ,Subject of Specialisation [With which subject you are pursing the degree],Percentage obtained in Class X,Are you involved with any co-curricular activities? Please mention,Favourite Subject(s) till Class X and marks obtained in that subject,Percentage obtained in Class XII,Favourite Subject(s) till Class XII and marks obtained in that subject,What was your motivation/factors behind choosing your current Stream of study?,How much you are satisfied with your chosen Stream of study,How much do you feel this degree is easy for you?,Your current CGPA?,"Which profession you would like to pursue in future ? (e.g., data scientist , modelling, entrepreneurship) ",What is your preferred Working Sector?(E.g.private sector or public sector or IT sector e.t.c),Do you feel financially constrained while choosing your career in higher studies? ,What is your expected salary (in Lakhs Per Annum) ,By what age do you want to settle in your career?,How many earning people are there in your family? ,Annual Family Income (appx),Parent's occupation,Highest Qualification of your parents,How much can you invest on your in education ? (in lakhs),On scale 1-5 what do you think about the influence from your parents towards you for choosing your career path,On scale 1-5 what do you think about the influence from your friends towards you for choosing your career path,On scale 1-5 what do you think about the influence from your teacher/mentor towards you for choosing your career path,On scale 1-5 what do you think your career choice has been affected by social or cultural expectations.,On a scale of 1-5 how much social media has affected your career choices in recent days.,On a scale of 1-5 what will you rate your chosen career as a stable one. [# not required],Do you feel that Your choosen degree aligns with your personal choice
"Yes, I consent",20 - 22,Male,"St Xavier's University,Kolkata ",LLB,"""Law"" -Constitutional Matters(Writs).",80 - 90,,English-94,90 - 100,PoliticalScience:97,Money ,3,3,7,Advocate ,High court litigation ,Maybe,0.75lks,35,1,below 3 Lakhs,Real estate ,Graduation ,7lks,3,1,3,5,2,2,4
"Yes, I consent",18 - 20,Female,"St Xavier's (Autonomous) College, Kolkata",B Com.,Accountancy,90 - 100,NSS,Mathematics - 99,90 - 100,Mathematics - 99,Interest and Earning Potential ,5,4,8,Chartered accountant ,Private Sector ,No,12 LPA,27,1,10 - 12 Lakhs,Private Sector Employee ,B.A,8,1,1,1,3,2,5,5
"Yes, I consent",18 - 20,Female,St. Xaviers autonomous college,B Com.,Accountancy ,90 - 100,NSS,Math,90 - 100,Math,I'm bad at science ,5,3,6,CA,Private,Maybe,12-13,25-26,2,10 - 12 Lakhs,Teacher ,Post graduate ,6,2,3,2,4,3,5,5
"Yes, I consent",18 - 20,Female,Sivnath Sastri College ,B Com.,Accountancy & Finance ,80 - 90,Dance,"Mathematics -89, Life Science -92",80 - 90,"Mathematics -80, Statistics -85",Exploring new genres,4,5,8,Tax Analyst ,Private sector or Public sector ,No,4.5 lpa,28-30,2,7 - 10 Lakhs,Service ,Graduate ,3-4,3,2,1,2,1,3,4
"Yes, I consent",22 - 25,Female,Shri Shikshayatan college ,M Com.,Accounting ,70 - 80,Painting ,English -70,70 - 80,Businessstudies -77,I have always loved my stream and the teachers have inspired me to become one. I look forward to teach commerce.,4,3,0,Professor of commerce ,Education sector ,No,3-5 lakhs p.a,25,1,below 3 Lakhs,Retired ,Graduation ,1 lakh per year ,4,2,5,2,2,5,5
"Yes, I consent",22 - 25,Female,Calcutta University ,M Com.,Accounting and finance ,80 - 90,Karate,Science-87,80 - 90,Accountancy -92,"My liking towards economy,business etc",5,5,8,Commerce related ,Public sector ,No,8-9,No age,3,3 -  7  Lakhs,Business ,Graduate ,As much it is required ,2,1,3,1,1,5,5
"No, I do not consent",22 - 25,Male,CALCUTTA UNIVERSITY ,M Com.,ACCOUNTING AND FINANCE ,80 - 90, DPS MEGA BIZZ competition ,"GEOGRAPHY- 77, BENGALI -84, COMMERCE- 80",70 - 80,"COMMERCE- 82, BST- 80",COST MANAGEMENT ACCOUNTING (CMA) IFS CORE + M.COM (account and finance),5,3,8,Web development,PRIVATE SECTORS,Maybe,8-10 LPA,25,2,15 Lakhs above,Business ,Masters,No more please already invested alot,5,5,5,1,5,3,5
"Yes, I consent",18 - 20,Male,The Bhawanipur Educational Society College ,B Com.,Accounts & Finance ,70 - 80,"Football, cricket, event management ",English - 90,80 - 90,Commerce - 90,"Becoming more expert in the field of accounts, finance & marketing. Preparing for life as a more aware and educated individual.",3,5,7,Accounts & finance manager ,Private ,Maybe,3-5 lakhs ,32,2,3 -  7  Lakhs,Business ,Graduate ,2,5,3,4,1,1,5,5
"Yes, I consent",18 - 20,Male,Besc,B Com.,Accounts and finance,60-70,,Pubg- 3.2kd,80 - 90,Costandtaxation -100,Can't read chemistry anymore,1,1,9,House husband,Home,No,Depends on wife's or her dad's networth,As soon as possible,1,15 Lakhs above,Engineer,Diploma engineer,Not a single penny more,1,1,1,1,3,3,5
"Yes, I consent",20 - 22,Male,The Bhawanipur College ,B Com.,Accounts Finance ,90 - 100,No,Economics -94,70 - 80,Economics 82,Financial Matters,4,1,6,Business Administration ,Private sector,Maybe,12 LPA,26 MAYBE ,1,7 - 10 Lakhs,Service ,Graduated,4-5 ,4,3,5,1,1,4,3
